accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps]
-1045.3049,478.1377,-205.1339,14752.5058,257556.3437,286685.1250
-108.2380,377.4001,94.2128,-18567.5058,191397.5781,227911.3437
321.2993,605.5231,113.4822,-7621.2524,89145.0312,59508.7773
-1001.4610,-72.6872,275.3819,-10797.5039,-1732.5006,-11340.0039
-984.1429,-36.4046,316.3600,-15365.0048,-2012.5008,-12853.7548
-1003.8391,-115.1897,205.6828,7708.7524,-7253.7524,-14980.0058
-979.9962,56.2228,278.0650,-11733.7548,-5652.5019,411.2502
-966.8858,376.6073,95.0055,-39803.7656,23458.7597,79257.5312
-1235.6818,626.4390,-213.7930,-5013.7519,97448.7812,251413.8437
-1471.6712,714.7369,-105.5549,2161.2509,170625.0625,286685.1250
-1172.2636,618.2069,-202.8777,-5197.5019,209851.3281,286685.1250
-388.9252,341.7273,219.8909,-6177.5019,181142.5625,261432.6093
95.3105,588.9368,56.2228,-31307.5117,71330.0312,81716.2812
14.4521,897.9184,-97.8716,54398.7734,-19127.5078,-44983.7695
-977.3132,-0.1829,282.7604,-33092.5117,-15575.0058,-8916.2539
-948.9578,32.9897,319.5918,-36610.0117,-15155.0048,-7901.2529
-1006.9490,-108.2380,114.4579,-2196.2509,-12801.2558,6685.0029
-1000.0585,-6.5248,191.6575,857.5003,7428.7519,7218.7529
-984.0209,227.4523,271.9671,13195.0048,34230.0156,31762.5117
-1050.3052,545.2147,-60.0035,2056.2507,116593.7890,170616.2968
-1508.3806,605.1573,-215.2565,2336.2507,185132.5625,286685.1250
-1235.3160,426.3054,-162.6924,1951.2506,221480.0781,286685.1250
-512.1640,556.6788,-141.7766,-37756.2656,180783.8281,244256.3437
-75.1873,731.1403,29.2090,-35105.0117,90378.7812,123392.5468
-0.2439,763.6422,-444.2942,22601.2578,3360.0012,24928.7597
-945.8480,-12.9886,403.0114,-39383.7617,-8846.2529,-866.2503
-968.5322,-58.1741,363.3139,-44975.0195,-11716.2539,1041.2503
-944.7502,-65.4307,167.2658,4628.7519,-12153.7548,3946.2512
-921.7001,144.9475,299.1638,2423.7509,14507.5048,10911.2539
-944.5064,429.6593,7.1346,-10911.2539,50785.0195,97247.5390
-1295.1976,889.1983,-264.5277,-367.5001,137882.5625,280262.5937
-1574.1772,687.5402,-269.1011,12888.7548,206753.8281,286685.1250
-1038.5361,619.2435,134.5810,5678.7519,240686.3437,286685.1250
-258.9786,420.7563,120.7388,-17587.5058,154183.8125,202265.0781
67.5649,636.8664,-111.4089,-18042.5058,39628.7656,55545.0195
-69.0894,721.8714,20.3061,-20308.7578,-70148.7734,-53567.5195
-928.1030,83.9683,414.5364,-46077.5195,-12836.2539,-3657.5014
-978.2888,19.8792,332.8853,-62982.5234,-16283.7558,61.2500
-929.5055,67.8088,249.2828,-6116.2524,-5075.0019,9178.7529
-995.2410,149.1551,110.6772,-1653.7506,13720.0048,39900.0117
-1079.6972,457.4657,-48.6614,-6571.2524,61827.5156,106793.7890
-1245.8654,675.3443,-195.4382,-2730.0009,136657.5468,238236.3281
-1391.0568,844.8664,-185.4986,-1312.5003,195142.5781,286685.1250
-886.3322,586.3757,62.8695,3333.7512,195965.0781,286685.1250
-305.5057,471.6130,5.4881,-3683.7512,136351.3125,237641.3281
94.8836,505.4564,-87.3832,-46007.5195,33783.7656,80570.0312
44.1489,664.3071,99.0302,2380.0009,-40626.2656,-58205.0234
-1003.1683,-77.4436,183.5473,-6020.0019,-6177.5019,-6816.2524
-978.4718,-66.7112,197.9384,2913.7509,-5468.7519,-7787.5029
-978.9596,-4.3295,278.0040,-12923.7539,-11515.0039,-2975.0012
-929.6884,99.0912,140.3740,6090.0019,-3867.5017,10517.5039
