accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps]
-1380.0196,1534.3577,1548.3222,2668.7509,-286685.1250,286685.1250
-813.5841,1083.2949,1099.6983,-53121.2695,-286685.1250,232050.0781
-211.4148,854.6840,492.3458,-15015.0048,-136727.5468,93940.0312
-288.1876,8.1102,480.9427,-38368.7617,29198.7617,-157316.3125
-178.8519,48.9053,547.8978,-38368.7617,29198.7617,-154883.7968
275.5039,183.0595,660.2215,14455.0048,-87526.2812,-95926.2890
77.7484,811.9376,410.5727,18865.0058,-205178.8281,76002.5312
-610.8284,846.1470,1042.9267,111273.7890,-275423.8437,252831.3437
-1042.5609,646.2573,1995.9700,161096.2968,-286685.1250,286685.1250
-860.4771,363.1920,1803.7637,10928.7539,-286685.1250,286685.1250
-278.9188,-134.5200,649.3062,40241.2617,-134146.2968,86266.2812
-171.7783,517.5913,1324.9553,-30283.7617,106155.0390,-61923.7734
5.2442,252.3928,-138.8496,-46996.2695,132737.5312,-51257.5195
96.7130,209.4635,-225.0741,-46996.2695,132737.5312,-51257.5195
616.9873,627.3537,429.9642,7962.5034,14708.7568,30432.5136
20.6719,827.2434,820.9625,3823.7517,-214847.5781,183977.5625
-904.1991,1042.6218,1020.4254,-39532.5156,-286685.1250,265501.3437
-1225.9251,1463.8050,1336.5415,-15487.5058,-286685.1250,286685.1250
-716.8101,1087.9903,919.0170,-72135.0312,-286685.1250,251448.8281
-210.1342,808.9497,466.1248,23117.5097,-103993.7890,97641.2890
-438.9281,119.3972,281.8457,-49175.0156,16047.5048,-130051.3046
-372.2779,163.1803,355.6915,-56656.2695,13658.7548,-126498.7812
-359.8991,-89.9443,210.1952,31911.2597,-498.7502,-91761.2812
-156.7774,-22.3184,293.9806,9975.0029,-42568.7656,-14813.7548
-10.6714,335.0196,402.7064,31552.5117,-131836.2968,88252.5312
-782.4237,979.6304,1807.4226,69746.2734,-286685.1250,257678.8437
-1358.3110,630.5246,1995.9700,47713.7656,-286685.1250,286685.1250
-978.9596,330.4461,1009.7540,-22120.0078,-286685.1250,286667.5937
-66.5893,236.6602,648.5745,182481.3125,-20930.0097,82845.0312
38.5388,-9.0859,-301.4810,-72957.5312,-708.7503,11305.0039
140.2521,53.1129,-274.6502,-45797.5156,-10526.2539,15916.2558
238.9774,430.2691,379.2295,-50793.7695,-136088.7968,90711.2812
-725.5911,770.1669,815.2915,11882.5039,-286676.3437,201993.8281
-1258.8541,1125.0657,1287.6971,-32480.0097,-286685.1250,254240.0937
-936.5181,927.8591,1229.8280,-32576.2617,-286685.1250,249803.8593
-235.8674,817.3038,998.8998,-69396.2734,-286685.1250,174947.5625
-28.1114,478.9914,809.6814,15916.2558,-91717.5390,27256.2617
-245.9290,-15.2448,-59.7596,-33950.0156,37975.0117,-29513.7597
-171.5954,10.6714,-20.0621,-27387.5097,28910.0097,-23178.7597
203.5485,225.6839,102.2011,-46007.5195,-62991.2734,31071.2597
-28.3553,480.5769,507.2248,29872.5097,-263121.3437,154376.3125
-954.0191,785.4727,1284.8920,37922.5156,-286685.1250,270698.8437
-1339.1026,1150.6770,1944.8088,73526.2734,-286685.1250,286685.1250
-717.4199,805.9007,1323.1259,-71417.5234,-286685.1250,257993.8593
-127.5074,220.8665,542.2878,-15260.0058,-173153.8125,77822.5312
-52.7470,-64.5160,61.5280,23616.2578,-39427.5156,-7761.2529
-52.7470,-64.5160,61.5280,23616.2578,-39427.5156,-7761.2529
24.4526,151.6552,588.8759,104221.2890,-148058.7968,71365.0234
-559.2400,405.5115,886.2103,81550.0312,-282616.3437,205301.3281
-837.8538,782.2408,1252.1462,52001.2695,-286685.1250,285915.0937
-1029.4504,842.6711,1969.0174,28428.7597,-286685.1250,286685.1250
-536.2508,387.0348,866.8800,18550.0058,-283508.8437,243433.8281
-100.3717,187.9988,1159.6408,146746.3125,51878.7695,53917.5195
223.6106,166.5951,-144.9475,-15881.2558,19906.2578,9275.0029
292.8830,291.0536,25.0624,-15881.2558,19906.2578,16073.7568
342.1542,417.6463,271.7232,-43408.7695,-119341.2890,86117.5312
-605.1573,1009.8151,657.1115,-38368.7617,-286685.1250,204951.3281
-1565.4573,1390.8128,1350.3836,-58730.0195,-286685.1250,286685.1250
-1126.4682,1278.6112,1155.0064,-20046.2578,-286685.1250,286562.5937
-208.1829,917.2487,181.2911,-76037.5234,-256952.5781,147367.5625
-4.9393,683.5765,970.2396,43977.5195,28148.7597,28253.7617
-390.4497,-229.5256,-166.3512,-52150.0195,41545.0156,-91122.5390
-312.8841,-146.7769,-143.4840,-27011.2597,38806.2617,-89748.7812
148.1794,-72.1384,275.3210,-19477.5078,-40923.7617,-32016.2636
217.0249,302.8836,713.8222,54285.0195,-201967.5625,78968.7812
-909.6262,1173.4831,1295.6245,65546.2734,-286685.1250,249305.0781
-1715.3441,899.6257,1916.0266,160632.5625,-286685.1250,286685.1250
-1133.0540,156.5335,1189.0328,39646.2656,-284550.0937,286676.3437
-320.3236,163.3022,1284.5872,38745.0156,-67585.0234,37187.5156
-381.9736,286.5411,-11.1592,13370.0058,94036.2812,-5101.2519
-381.9736,286.5411,-11.1592,13370.0058,94036.2812,-5101.2519
-94.1518,84.9440,-136.5323,-41658.7617,50837.5156,140.0001
144.8865,453.2582,288.0046,-12328.7548,-45508.7695,38421.2656
-247.5754,838.6465,706.7486,-20868.7578,-212178.8281,141881.2968
-975.7886,1353.0668,1076.7092,-47923.7695,-286685.1250,249278.8281
-1494.0507,1502.2828,1613.9967,-44983.7695,-286685.1250,286685.1250
-613.8773,1036.9508,431.3667,-132125.0625,-286685.1250,215442.5781
-167.6927,791.3877,556.0691,60366.2734,-52018.7656,77358.7812
-359.2283,-24.4526,-172.0832,-17990.0078,43373.7656,-46742.5195
-359.2283,-24.4526,-172.0832,-17990.0078,43373.7656,-46742.5195
22.5623,378.1318,-74.7605,-38937.5156,-44371.2656,8723.7529
-210.8660,436.5499,518.9328,18943.7578,-190968.8281,110180.0390
-820.1089,861.3918,1039.0850,81287.5312,-286685.1250,218461.3281
-1224.3398,1008.1076,1375.6291,101797.5390,-286685.1250,286685.1250
-982.0696,773.9477,1420.0219,-12608.7539,-286685.1250,286685.1250
-303.4934,399.4745,619.8533,-67427.5312,-229556.3437,151077.5625
-529.7260,-47.8077,208.0609,-42621.2656,20160.0078,-83842.5312
-529.7260,-47.8077,208.0609,-42621.2656,20160.0078,-83842.5312
-205.9876,13.8423,84.0903,-25235.0097,-18795.0078,-26153.7597
19.3914,141.3497,473.3203,75941.2734,-116130.0468,76387.5234
-334.9586,325.0800,965.1173,28726.2597,-234237.5781,157753.8125
-1025.3647,862.4893,1710.0998,59438.7734,-286685.1250,285460.0937
-1139.5787,415.3291,1584.1778,25130.0078,-286685.1250,286685.1250
-489.8457,353.4963,769.7401,-350.0001,-240397.5781,179681.3125
-127.5684,303.4934,1262.6956,75547.5312,-175.0001,24955.0078
-388.8642,-35.1850,46.1003,-55221.2695,62632.5234,-52526.2695
-388.8642,-50.4907,-93.2372,-55221.2695,62632.5234,-52526.2695
-52.3811,31.3433,63.9062,-11637.5039,3920.0014,-11838.7539
-117.1410,428.5007,443.3186,18593.7578,-106146.2890,72581.2734
-396.0597,591.6199,670.7100,-2563.7509,-254310.0781,177808.8281
-1224.9495,1316.4792,1583.5070,19092.5058,-286685.1250,286431.3437
-1424.5344,825.9019,1514.0517,-3762.5017,-286685.1250,286685.1250
-406.3652,590.3393,442.9526,-127522.5468,-279632.6250,203008.8281
-93.4201,558.6302,1203.4848,103232.5312,-2021.2507,38018.7617
-34.6971,180.9862,-207.9390,-80053.7812,90571.2812,5722.5019
60.4913,202.8167,-233.6722,-81768.7812,82530.0234,13002.5048
316.1770,438.4403,280.3822,-45797.5156,-12521.2539,76186.2812
-103.6036,779.1309,421.4270,7350.0024,-204785.0625,176268.8125
-721.7495,1045.3049,926.7614,-37756.2656,-286685.1250,255902.6093
-1344.8956,1692.4158,1655.1577,-20492.5078,-286685.1250,286685.1250
-719.9201,1363.9820,621.0729,-7700.0029,-286685.1250,278092.6250
