accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps]
-1018.2911,-52.0762,44.1489,-70.0000,-271.2501,-1286.2504
-1019.2058,-51.0396,43.4781,-122.5000,-455.0002,-1181.2503
-1017.1326,-55.8569,46.8320,-61.2500,-1085.0003,-2082.5007
-1015.4861,-56.1008,47.6857,-96.2500,210.0001,-813.7503
-1019.9985,-54.0885,44.0270,-105.0000,971.2503,-140.0001
-1019.7547,-51.2225,43.2952,-78.7500,96.2500,-761.2503
-1019.0230,-50.0639,42.2586,-87.5000,105.0000,-831.2503
-1019.3278,-53.7226,43.0513,-78.7500,-542.5002,-1452.5004
-1020.6694,-51.8933,41.8317,-52.5000,-691.2503,-1610.0004
-1017.9863,-55.2471,46.1612,-96.2500,-52.5000,-953.7504
-1018.4132,-52.2591,43.4172,-113.7500,1443.7506,271.2501
-1017.8643,-47.6247,40.0633,-96.2500,61.2500,-1067.5003
-1018.5350,-52.1982,43.3562,-113.7500,-78.7500,-1155.0003
-1017.9253,-52.3201,44.7587,-148.7501,-393.7502,-1575.0006
-1019.7547,-52.6860,43.7221,-122.5000,-87.5000,-1058.7504
-1019.4498,-51.4054,43.8440,-70.0000,-306.2501,-1198.7503
-1018.5961,-52.5031,44.0879,-96.2500,-87.5000,-1058.7504
-1018.6571,-50.6127,41.9537,-113.7500,280.0001,-857.5003
-1020.0596,-49.9419,41.2219,-78.7500,-560.0003,-1435.0004
-1017.8643,-54.7593,45.9783,-105.0000,-971.2503,-2030.0006
-1017.9253,-55.1862,46.7710,-140.0001,17.5000,-1050.0003
-1019.1448,-51.6494,42.9293,-105.0000,516.2503,-420.0002
-1016.8277,-53.4177,46.0393,-70.0000,-113.7500,-1128.7503
-1018.7180,-52.5640,44.4538,-87.5000,-140.0001,-1137.5004
-1018.7180,-53.5397,43.9050,-122.5000,-113.7500,-1128.7503
-1018.4742,-52.6250,44.0270,-122.5000,-892.5004,-1863.7506
-1016.7058,-54.2715,48.0516,-87.5000,26.2500,-875.0003
-1018.7180,-51.6494,43.6611,-122.5000,1181.2503,35.0000
-1017.9863,-51.7713,42.8684,-122.5000,-323.7501,-1163.7504
-1019.4498,-52.6250,44.8807,-122.5000,-227.5001,-1260.0004
-1018.5350,-54.6983,44.7587,-52.5000,-463.7502,-1496.2504
-1017.7424,-53.2348,44.1489,-87.5000,166.2501,-805.0003
-1018.1693,-53.1129,45.2465,-87.5000,17.5000,-901.2503
-1018.7180,-50.8566,44.3928,-87.5000,35.0000,-1006.2504
-1019.2058,-53.1738,43.4781,-140.0001,-122.5000,-1120.0004
-1019.2669,-52.5031,42.7464,-78.7500,-455.0002,-1435.0004
-1016.9496,-52.7470,46.9540,-105.0000,-306.2501,-1163.7504
-1019.2669,-53.3568,43.9050,-105.0000,105.0000,-866.2503
-1018.6571,-52.8080,44.1489,-113.7500,-8.7500,-988.7504
-1017.6813,-52.8080,44.7587,-122.5000,-43.7500,-1015.0003
-1018.0473,-51.0396,43.3562,-96.2500,463.7502,-682.5003
-1019.9376,-51.6494,44.0879,-96.2500,-437.5002,-1443.7506
-1018.1082,-52.7470,45.2465,-140.0001,-778.7503,-1697.5006
-1017.1936,-54.4544,47.7467,-105.0000,358.7501,-665.0003
-1021.2182,-48.9663,40.7341,-96.2500,901.2503,-140.0001
-1018.8400,-52.8080,43.9660,-105.0000,-761.2503,-1688.7506
-1016.8886,-52.0762,44.1489,-105.0000,-665.0003,-1461.2506
-1018.4132,-55.2471,45.9783,-78.7500,-8.7500,-883.7503
-1017.7424,-51.8933,43.9660,-122.5000,822.5003,-341.2501
-1019.8767,-51.2835,43.3562,-105.0000,-761.2503,-1688.7506
-1017.2545,-53.2348,45.5514,-122.5000,-358.7501,-1198.7503
-1019.9376,-53.7226,44.5148,-105.0000,376.2501,-612.5003
-1019.4498,-53.3568,43.7830,-96.2500,61.2500,-875.0003
-1018.4742,-52.4421,43.9050,-78.7500,-437.5002,-1373.7504
-1018.8400,-53.5397,45.7954,-96.2500,-1006.2504,-2012.5008
-1016.8886,-55.6130,48.9663,-113.7500,-341.2501,-1461.2506
-1018.7789,-53.1129,45.2465,-87.5000,665.0003,166.2501
-1019.3278,-52.4421,43.9050,-131.2500,787.5003,-455.0002
-1018.9619,-49.3931,42.6244,-113.7500,-341.2501,-1303.7504
-1017.1326,-56.4057,46.9540,-105.0000,-691.2503,-1951.2506
-1019.6327,-52.5031,42.8684,-96.2500,376.2501,-420.0002
-1018.9010,-54.3934,46.9540,-96.2500,-612.5003,-1277.5004
-1017.6205,-54.8203,46.1003,-113.7500,1513.7506,122.5000
-1020.8522,-47.8687,38.9657,-105.0000,813.7503,-665.0003
-1018.0473,-51.3445,44.9416,-70.0000,-621.2503,-1382.5004
-1018.5350,-50.0029,43.1123,-78.7500,-708.7503,-1435.0004
-1018.0473,-55.7959,47.1979,-70.0000,-1435.0004,-2248.7509
-1016.4617,-55.8569,47.0759,-113.7500,367.5001,-822.5003
-1018.9619,-52.5640,42.8684,-96.2500,481.2502,-577.5002
-1017.5594,-52.0762,45.6124,-105.0000,420.0002,-612.5003
-1018.6571,-50.5517,40.4902,-131.2500,420.0002,-647.5003
-1016.7667,-51.5274,45.4905,-70.0000,-1155.0003,-1986.2507
-1018.5961,-53.9666,43.7221,-70.0000,-1076.2503,-1846.2506
-1014.8153,-56.4057,49.3321,-87.5000,1365.0004,-8.7500
-1021.6450,-45.8563,35.1850,-105.0000,1732.5006,638.7503
-1019.6937,-49.5151,42.8074,-35.0000,-1251.2504,-2170.0007
-1015.3032,-55.5520,47.0149,-113.7500,-315.0001,-1382.5004
-1020.7304,-50.3078,41.1000,-87.5000,-866.2503,-1802.5006
-1014.9373,-56.5887,50.7347,-70.0000,-26.2500,-735.0003
-1021.6450,-49.8810,40.6121,-131.2500,2091.2507,525.0002
-1020.3036,-50.5517,39.6365,-78.7500,-385.0001,-1233.7504
-1018.4742,-53.2348,42.7464,-113.7500,-866.2503,-1907.5007
-1018.1082,-54.2715,45.1246,-78.7500,-1076.2503,-1715.0006
-1017.8643,-55.3691,46.5271,-131.2500,1181.2503,61.2500
-1020.9743,-48.6614,39.0876,-113.7500,446.2502,-630.0003
-1019.1448,-52.8080,43.7830,-78.7500,-796.2503,-1785.0007
-1018.7180,-51.2835,44.6368,-105.0000,-665.0003,-1417.5004
-1017.7424,-57.6253,46.6491,-87.5000,-201.2501,-1102.5003
-1018.4742,-50.6737,43.6611,-113.7500,1601.2506,376.2501
-1020.9133,-48.7833,38.6608,-96.2500,-1295.0004,-2301.2507
-1016.9496,-57.0765,47.6857,-78.7500,-1662.5006,-2441.2507
-1018.5350,-53.7836,45.2465,-140.0001,1155.0003,-52.5000
-1019.5717,-50.4298,41.4658,-113.7500,945.0004,-367.5001
-1019.2058,-51.8933,43.2952,-87.5000,-1023.7503,-1741.2506
-1018.9010,-54.5154,44.9416,-131.2500,-848.7503,-1688.7506
-1016.5838,-53.1129,47.5638,-78.7500,-288.7501,-1338.7504
-1018.9010,-54.6983,45.1856,-122.5000,682.5003,-586.2503
-1019.8767,-53.1129,43.8440,-122.5000,113.7500,-787.5003
-1019.5107,-52.5640,43.9660,-113.7500,-87.5000,-1006.2504
-1018.2302,-52.4421,43.7221,-96.2500,-621.2503,-1513.7506
-1017.6205,-54.4544,45.8563,-140.0001,131.2500,-1032.5004
-1019.1448,-55.0642,45.1246,-96.2500,192.5001,-743.7503
